Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;PRCT_%;T.C.S_%;T.V.A_%;D.A.P.S_%;Formalites;Total_%
SECTION XI;SECTION;Matières textiles et ouvrages en ces matières;Textiles and textile articles;;;;;;;;
CHAPITRE 61;CHAPITRE;Vêtements en bonneterie;;;;;;;;;
6101;RANGEE 01;"Coats; men's or boys' overcoats, car-coats, capes, cloaks, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles; knitted or crocheted, other than those of heading no. 6103";;;;;;;;;
610110;HS6;Manteaux en bonneterie pour hommes;Men's knitted overcoats;;;;;;;;
6101101000;HS10;Manteaux en bonneterie pour hommes;Men's knitted overcoats;Habillement;30.0;2.0;;19.0;;910 Déclaration d'Importation du Produit | 210 Autorisation de Libre Circulation;51.0
6101102000;HS10;Manteaux en bonneterie pour hommes;Men's knitted overcoats;Habillement;30.0;2.0;;19.0;;=;51.0
6101109000;HS10;Manteaux en bonneterie pour hommes - Autre;Men's knitted overcoats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
610120;HS6;Manteaux en bonneterie pour femmes;Women's knitted overcoats;;;;;;;;
6101201000;HS10;Manteauxcabanscapes en bonneterie de coton pour hommesgarçonnets;Manteauxcabanscapes en bonneterie de coton pour hommesgarçonnets;Habillement;30.0;2.0;;19.0;;=;51.0
6101202000;HS10;Anoraksblousons en bonneterie de coton pour hommesgarçonnets;Anoraksblousons en bonneterie de coton pour hommesgarçonnets;Habillement;30.0;2.0;;19.0;;=;51.0
6101209000;HS10;Manteaux en bonneterie pour femmes - Autre;Women's knitted overcoats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
610130;HS6;De fibres synthétiques ou artificielles;Coats;;;;;;;;
6101301000;HS10;Manteauxcabanscapes en bonneterie synthétiqueartificielle pour hommesgarçonnets;Manteauxcabanscapes en bonneterie synthétiqueartificielle pour hommesgarçonnets;Habillement;30.0;2.0;;19.0;;=;51.0
6101302000;HS10;Anoraksblousons en bonneterie synthétiqueartificielle pour hommesgarçonnets;Anoraksblousons en bonneterie synthétiqueartificielle pour hommesgarçonnets;Habillement;30.0;2.0;;19.0;;=;51.0
6101309000;HS10;De fibres synthétiques ou artificielles - Autre;Coats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
610190;HS6;D'autres matières textiles;Coats;;;;;;;;
6101901000;HS10;Manteauxcabanscapes en bonneterie autres textiles pour hommesgarçonnets;Manteauxcabanscapes en bonneterie autres textiles pour hommesgarçonnets;Habillement;30.0;2.0;;19.0;;=;51.0
6101902000;HS10;Anoraks blousons et articles similaires en bonneterie pour hommes ou garçons autres matières textiles;Anoraks blousons et articles similaires en bonneterie pour hommes ou garçons autres matières textiles;Habillement;30.0;2.0;;19.0;;=;51.0
6101909000;HS10;D'autres matières textiles - Autre;Coats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
6102;RANGEE 02;"Coats; women's or girls' overcoats, car-coats, capes, cloaks, anoraks, ski-jackets, wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading no. 6104";;;;;;;;;
610210;HS6;Manteaux en bonneterie pour femmes de laine;Women's wool knitted overcoats;;;;;;;;
6102101000;HS10;Manteaux cabans capes et articles similaires en bonneterie pour femmes ou fillettes laine ou poils fins;Manteaux cabans capes et articles similaires en bonneterie pour femmes ou fillettes laine ou poils fins;Habillement;30.0;2.0;;19.0;;=;51.0
6102102000;HS10;Anoraks blousons et articles similaires en bonneterie pour femmes ou fillettes laine ou poils fins;Anoraks blousons et articles similaires en bonneterie pour femmes ou fillettes laine ou poils fins;Habillement;30.0;2.0;;19.0;;=;51.0
6102109000;HS10;Manteaux en bonneterie pour femmes de laine - Autre;Women's wool knitted overcoats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
610220;HS6;De coton;Coats;;;;;;;;
6102201000;HS10;Manteaux cabans capes et articles similaires en bonneterie pour femmes ou fillettes coton;Manteaux cabans capes et articles similaires en bonneterie pour femmes ou fillettes coton;Habillement;30.0;2.0;;19.0;;=;51.0
6102202000;HS10;Anoraks blousons et articles similaires en bonneterie pour femmes ou fillettes coton;Anoraks blousons et articles similaires en bonneterie pour femmes ou fillettes coton;Habillement;30.0;2.0;;19.0;;=;51.0
6102209000;HS10;De coton - Autre;Coats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
610230;HS6;De fibres synthétiques ou artificielles;Coats;;;;;;;;
6102301000;HS10;Manteaux cabans capes et articles similaires en bonneterie pour femmes ou fillettes fibres synthétiques ou artificielles;Manteaux cabans capes et articles similaires en bonneterie pour femmes ou fillettes fibres synthétiques ou artificielles;Habillement;30.0;2.0;;19.0;;=;51.0
6102302000;HS10;Anoraks blousons et articles similaires en bonneterie pour femmes ou fillettes fibres synthétiques ou artificielles;Anoraks blousons et articles similaires en bonneterie pour femmes ou fillettes fibres synthétiques ou artificielles;Habillement;30.0;2.0;;19.0;;=;51.0
6102309000;HS10;De fibres synthétiques ou artificielles - Autre;Coats - Other;Habillement;30.0;2.0;;19.0;;=;51.0
610290;HS6;D'autres matières textiles;Coats;;;;;;;;
6102901000;HS10;D'autres matières textiles;Coats;Habillement;30.0;2.0;;19.0;;=;51.0
