Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;DAPS_%;DD_%;PRCT_%;TCS_%;TVA_%;Formalites;Total_%
SECTION XVIII;SECTION;"Instruments et appareils d'optique, de photographie, de mesure; horlogerie; instruments de musique";"Optical, photographic, measuring, medical instruments; clocks; musical instruments";;;;;;;;
CHAPITRE 91;CHAPITRE;Horlogerie;;;;;;;;;
9101;RANGEE 01;"Wrist-watches, pocket-watches, stop-watches and other watches; with case of precious metal or of metal clad with precious metal";;;;;;;;;
910111;HS6;A affichage mécanique seulement;Wrist-watches;;;;;;;;
9101111000;HS10;A affichage mécanique seulement - Type 1;Wrist-watches - Type 1;Horlogerie;;15.0;;;15.0;910 Déclaration d'Importation du Produit;30.0
9101112000;HS10;A affichage mécanique seulement - Type 2;Wrist-watches - Type 2;Horlogerie;;15.0;;;15.0;=;30.0
9101119000;HS10;A affichage mécanique seulement - Autre;Wrist-watches - Other;Horlogerie;;15.0;;;15.0;=;30.0
910119;HS6;Autres;Wrist-watches;;;;;;;;
9101191000;HS10;Autres - Type 1;Wrist-watches - Type 1;Horlogerie;;15.0;;;15.0;=;30.0
9101192000;HS10;Autres - Type 2;Wrist-watches - Type 2;Horlogerie;;15.0;;;15.0;=;30.0
9101199000;HS10;Autres - Autre;Wrist-watches - Other;Horlogerie;;15.0;;;15.0;=;30.0
910121;HS6;A remontage automatique;Wrist-watches;;;;;;;;
9101211000;HS10;A remontage automatique - Type 1;Wrist-watches - Type 1;Horlogerie;;15.0;;;15.0;=;30.0
9101212000;HS10;A remontage automatique - Type 2;Wrist-watches - Type 2;Horlogerie;;15.0;;;15.0;=;30.0
9101219000;HS10;A remontage automatique - Autre;Wrist-watches - Other;Horlogerie;;15.0;;;15.0;=;30.0
910129;HS6;Autres;Wrist-watches;;;;;;;;
9101291000;HS10;Autres - Type 1;Wrist-watches - Type 1;Horlogerie;;15.0;;;15.0;=;30.0
9101292000;HS10;Autres - Type 2;Wrist-watches - Type 2;Horlogerie;;15.0;;;15.0;=;30.0
9101299000;HS10;Autres - Autre;Wrist-watches - Other;Horlogerie;;15.0;;;15.0;=;30.0
910191;HS6;Fonctionnant électriquement;Pocket-watches and other watches;;;;;;;;
9101911000;HS10;Fonctionnant électriquement - Type 1;Pocket-watches and other watches - Type 1;Horlogerie;;15.0;;;15.0;=;30.0
9101912000;HS10;Fonctionnant électriquement - Type 2;Pocket-watches and other watches - Type 2;Horlogerie;;15.0;;;15.0;=;30.0
9101919000;HS10;Fonctionnant électriquement - Autre;Pocket-watches and other watches - Other;Horlogerie;;15.0;;;15.0;=;30.0
910199;HS6;Autres;Pocket-watches and other watches;;;;;;;;
9101991000;HS10;Autres - Type 1;Pocket-watches and other watches - Type 1;Horlogerie;;15.0;;;15.0;=;30.0
9101992000;HS10;Autres - Type 2;Pocket-watches and other watches - Type 2;Horlogerie;;15.0;;;15.0;=;30.0
9101999000;HS10;Autres - Autre;Pocket-watches and other watches - Other;Horlogerie;;15.0;;;15.0;=;30.0
