Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;PRCT_%;T.C.S_%;T.V.A_%;D.A.P.S_%;Formalites;Total_%
SECTION IV;SECTION;"Produits des industries alimentaires; boissons, liquides alcooliques et vinaigres; tabacs";"Prepared foodstuffs; beverages, spirits, vinegar; tobacco";;;;;;;;
CHAPITRE 21;CHAPITRE;Préparations alimentaires diverses;;;;;;;;;
2101;RANGEE 01;"Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof";;;;;;;;;
210111;HS6;Extraits de café;Coffee extracts;;;;;;;;
2101111000;HS10;Extraits de café;Coffee extracts;Alimentation;30.0;2.0;3.0;19.0;;910 Déclaration d'Importation du Produit | 210 Autorisation de Libre Circulation | 902 Autorisation d'admission du produit | 215 Certificat Phytosanitaire du Pays d'Origine;54.0
2101112000;HS10;Extraits de café;Coffee extracts;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101119000;HS10;Extraits de café - Autre;Coffee extracts - Other;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
210112;HS6;Préparations à base d'extraits de café;Preparations based on coffee extracts;;;;;;;;
2101121000;HS10;Extraits essences et concentrés de cafe et preparations a base de ces extraits essences ou concentrés ou a base de cafe preparations a base dextraits essences ou concentrés ou a base de cafe liquides;Extraits essences et concentres de cafe et preparations a base de ces extraits essences ou concentres ou a base de cafe preparations a base dextraits essences ou concentres ou a base de cafe liquides;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101122000;HS10;Préparations à base d'extraits de café;Preparations based on coffee extracts;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101129000;HS10;Préparations à base d'extraits de café - Autre;Preparations based on coffee extracts - Other;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
210120;HS6;Extraits de thé ou maté;Tea or maté extracts;;;;;;;;
2101201000;HS10;Extraits essences et concentrés de the ou de mate et preparations a base de ces extraits essences ou concentrés ou a base de the ou de mate conditionne pour la vente au detail;Extraits essences et concentres de the ou de mate et preparations a base de ces extraits essences ou concentres ou a base de the ou de mate conditionne pour la vente au detail;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101202000;HS10;Extraits de thé ou maté;Tea or maté extracts;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101209000;HS10;Extraits de thé ou maté - Autre;Tea or maté extracts - Other;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
210130;HS6;Chicorée torréfiée et extraits;Roasted chicory and extracts;;;;;;;;
2101301000;HS10;Chicoree torrefiee et autres succedanes torrefies du cafe et leurs extraits essences et concentrés conditionne pour la vente au detail;Chicoree torrefiee et autres succedanes torrefies du cafe et leurs extraits essences et concentres conditionne pour la vente au detail;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101302000;HS10;Chicorée torréfiée et extraits;Roasted chicory and extracts;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2101309000;HS10;Chicorée torréfiée et extraits - Autre;Roasted chicory and extracts - Other;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2102;RANGEE 02;"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading no. 3002); prepared baking powders";;;;;;;;;
210210;HS6;Levures actives;Active yeasts;;;;;;;;
2102101000;HS10;Levures vivantes levures meres selectionnees levures de culture;Levures vivantes levures meres selectionnees levures de culture;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2102102000;HS10;Levures actives;Active yeasts;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2102109000;HS10;Levures actives - Autre;Active yeasts - Other;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
210220;HS6;Levures inactives;Inactive yeasts;;;;;;;;
2102200010;HS10;Levures inactives - Usage spécifique;Inactive yeasts - Specific use;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2102200090;HS10;Levures inactives - Autre usage;Inactive yeasts - Other use;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
210230;HS6;Poudres à lever préparées;Prepared baking powders;;;;;;;;
210230;HS6-DIRECT;Poudres à lever préparées;Prepared baking powders;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2103;RANGEE 03;"Sauces and preparations therefor; mixed condiments and mixed seasonings, mustard flour and meal and prepared mustard";;;;;;;;;
210310;HS6;Sauce soja;Soy sauce;;;;;;;;
2103101000;HS10;Sauce soja;Soy sauce;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2103102000;HS10;Sauce soja;Soy sauce;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
2103109000;HS10;Sauce soja - Autre;Soy sauce - Other;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
210320;HS6;Ketchup et autres sauces tomates;Ketchup and other tomato sauces;;;;;;;;
2103201000;HS10;Tomato ketchup et autres sauces tomates tomato ketchup;Tomato ketchup et autres sauces tomates tomato ketchup;Alimentation;30.0;2.0;3.0;19.0;;=;54.0
