Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;PRCT_%;T.C.S_%;T.V.A_%;D.A.P.S_%;Formalites;Total_%
SECTION XVIII;SECTION;"Instruments et appareils d'optique, de photographie, de mesure; horlogerie; instruments de musique";"Optical, photographic, measuring, medical instruments; clocks; musical instruments";;;;;;;;
CHAPITRE 91;CHAPITRE;Horlogerie;;;;;;;;;
9101;RANGEE 01;"Wrist-watches, pocket-watches, stop-watches and other watches; with case of precious metal or of metal clad with precious metal";;;;;;;;;
910111;HS6;A affichage mécanique seulement;Wrist-watches;;;;;;;;
9101111000;HS10;Montres bracelets fonctionnant électriquement meme incorporant un compteur de temps a affichage mécanique seulement avec boite en or ou en plaques ou doublesdor;Montres bracelets fonctionnant electriquement meme incorporant un compteur de temps a affichage mecanique seulement avec boite en or ou en plaques ou doublesdor;Horlogerie;30.0;2.0;;19.0;;910 Déclaration d'Importation du Produit | 210 Autorisation de Libre Circulation;51.0
9101112000;HS10;Montres bracelets fonctionnant électriquement meme incorporant un compteur de temps a affichage mécanique seulement avec boite en platine ou en plaques ou doubles de platine;Montres bracelets fonctionnant electriquement meme incorporant un compteur de temps a affichage mecanique seulement avec boite en platine ou en plaques ou doubles de platine;Horlogerie;30.0;2.0;;19.0;;=;51.0
9101119000;HS10;A affichage mécanique seulement - Autre;Wrist-watches - Other;Horlogerie;30.0;2.0;;19.0;;=;51.0
910119;HS6;Autres;Wrist-watches;;;;;;;;
9101191000;HS10;Montres bracelets fonctionnant électriquement meme incorporant un compteur de temps autres avec boite en or ou en plaques ou doublesdor;Montres bracelets fonctionnant electriquement meme incorporant un compteur de temps autres avec boite en or ou en plaques ou doublesdor;Horlogerie;30.0;2.0;;19.0;;=;51.0
9101192000;HS10;Montres bracelets fonctionnant électriquement meme incorporant un compteur de temps autres avec boite en platine ou en plaques ou doubles de platine;Montres bracelets fonctionnant electriquement meme incorporant un compteur de temps autres avec boite en platine ou en plaques ou doubles de platine;Horlogerie;30.0;2.0;;19.0;;=;51.0
9101199000;HS10;Autres - Autre;Wrist-watches - Other;Horlogerie;30.0;2.0;;19.0;;=;51.0
910121;HS6;A remontage automatique;Wrist-watches;;;;;;;;
9101211000;HS10;Autres montres bracelets meme incorporant un compteur de temps a remontage automatique avec boite en or ou en plaques ou doublesdor;Autres montres bracelets meme incorporant un compteur de temps a remontage automatique avec boite en or ou en plaques ou doublesdor;Horlogerie;30.0;2.0;;19.0;;=;51.0
9101212000;HS10;Autres montres bracelets meme incorporant un compteur de temps a remontage automatique avec boite en platine ou en plaques ou doubles de platine;Autres montres bracelets meme incorporant un compteur de temps a remontage automatique avec boite en platine ou en plaques ou doubles de platine;Horlogerie;30.0;2.0;;19.0;;=;51.0
9101219000;HS10;A remontage automatique - Autre;Wrist-watches - Other;Horlogerie;30.0;2.0;;19.0;;=;51.0
910129;HS6;Autres;Wrist-watches;;;;;;;;
