Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;PRCT_%;T.C.S_%;T.V.A_%;D.A.P.S_%;Formalites;Total_%
SECTION I;SECTION;Animaux vivants et produits du règne animal;Live animals and animal products;;;;;;;;
CHAPITRE 01;CHAPITRE;Animaux vivants;;;;;;;;;
0101;RANGEE 01;"Horses, asses, mules and hinnies; live";;;;;;;;;
010110;HS6;Chevaux reproducteurs de race pure;Pure-bred breeding horses;;;;;;;;
0101101000;HS10;Chevaux reproducteurs de race pure - Reproduction;Pure-bred breeding horses - Breeding;Élevage;5.0;2.0;3.0;9.0;;910 Déclaration d'Importation du Produit | 210 Autorisation de Libre Circulation | 902 Autorisation d'admission du produit | 216 Certificat Sanitaire Vétérinaire;19.0
0101109000;HS10;Chevaux reproducteurs de race pure - Boucherie;Pure-bred breeding horses - Slaughter;Élevage;30.0;2.0;3.0;9.0;;=;44.0
010121;HS6;Chevaux vivants (non reproducteurs);Live horses (non-breeding);;;;;;;;
0101210010;HS10;Chevaux vivants (non reproducteurs) - Usage spécifique;Live horses (non-breeding) - Specific use;Élevage;15.0;2.0;3.0;19.0;;=;39.0
0101210090;HS10;Chevaux vivants (non reproducteurs) - Autre usage;Live horses (non-breeding) - Other use;Élevage;15.0;2.0;3.0;19.0;;=;39.0
010129;HS6;Autres;Horses;;;;;;;;
0101291000;HS10;Chevaux autres de course;Chevaux autres de course;Élevage;15.0;2.0;3.0;19.0;;=;39.0
0101292000;HS10;Chevaux autres pour abattage;Chevaux autres pour abattage;Élevage;15.0;2.0;3.0;19.0;;=;39.0
0101299000;HS10;Autres - Autre;Horses - Other;Élevage;15.0;2.0;3.0;19.0;;=;39.0
010130;HS6;Ânes;Asses;;;;;;;;
0101301000;HS10;Ânes reproducteurs de race pure;Anes reproducteurs de race pure;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0101302000;HS10;Ânes;Asses;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0101309000;HS10;Ânes - Autre;Asses - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
010190;HS6;Autres;Mules and hinnies;;;;;;;;
0101901000;HS10;Autres;Mules and hinnies;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0101902000;HS10;Autres;Mules and hinnies;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0101909000;HS10;Autres - Autre;Mules and hinnies - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102;RANGEE 02;"Bovine animals; live";;;;;;;;;
010221;HS6;Bovins reproducteurs de race pure;Pure-bred breeding bovine animals;;;;;;;;
0102211000;HS10;Bovins reproducteurs de race pure - Reproduction;Pure-bred breeding bovine animals - Breeding;Élevage;5.0;2.0;3.0;9.0;;=;19.0
0102219000;HS10;Bovins reproducteurs de race pure - Boucherie;Pure-bred breeding bovine animals - Slaughter;Élevage;30.0;2.0;3.0;9.0;;=;44.0
010229;HS6;Autres;Cattle;;;;;;;;
0102291000;HS10;Bovins domestiques autres vaches laitieres;Bovins domestiques autres vaches laitieres;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102292000;HS10;Bovins domestiques autres genisses pleines et veles;Bovins domestiques autres genisses pleines et veles;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102299000;HS10;Autres - Autre;Cattle - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
010231;HS6;Reproducteurs de race pure;Buffalo;;;;;;;;
0102311000;HS10;Reproducteurs de race pure;Buffalo;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102312000;HS10;Reproducteurs de race pure;Buffalo;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102319000;HS10;Reproducteurs de race pure - Autre;Buffalo - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
010239;HS6;Autres;Buffalo;;;;;;;;
0102391000;HS10;Autres;Buffalo;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102392000;HS10;Autres;Buffalo;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102399000;HS10;Autres - Autre;Buffalo - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
010290;HS6;Autres bovins vivants;Other live bovine animals;;;;;;;;
0102901000;HS10;Autres reproducteurs de race pure;Autres reproducteurs de race pure;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102902000;HS10;Autres bovins vivants;Other live bovine animals;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0102909000;HS10;Autres bovins vivants - Autre;Other live bovine animals - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0103;RANGEE 03;"Swine; live";;;;;;;;;
010310;HS6;Porcins reproducteurs de race pure;Pure-bred breeding swine;;;;;;;;
0103101000;HS10;Porcins reproducteurs de race pure - Reproduction;Pure-bred breeding swine - Breeding;Élevage;5.0;2.0;3.0;9.0;;=;19.0
0103109000;HS10;Porcins reproducteurs de race pure - Boucherie;Pure-bred breeding swine - Slaughter;Élevage;30.0;2.0;3.0;9.0;;=;44.0
010391;HS6;Autres porcins < 50 kg;Other swine < 50 kg;;;;;;;;
010391;HS6-DIRECT;Autres porcins < 50 kg;Other swine < 50 kg;Élevage;15.0;2.0;3.0;9.0;;=;29.0
010392;HS6;D'un poids égal ou supérieur à 50 kg;Swine;;;;;;;;
0103921000;HS10;D'un poids égal ou supérieur à 50 kg;Swine;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0103922000;HS10;D'un poids égal ou supérieur à 50 kg;Swine;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0103929000;HS10;D'un poids égal ou supérieur à 50 kg - Autre;Swine - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0104;RANGEE 04;"Sheep and goats; live";;;;;;;;;
010410;HS6;Ovins vivants;Live sheep;;;;;;;;
0104101000;HS10;De lespece ovine reproducteurs de race pure;De lespece ovine reproducteurs de race pure;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0104102000;HS10;Ovins vivants;Live sheep;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0104109000;HS10;Ovins vivants - Autre;Live sheep - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
010420;HS6;Caprins vivants;Live goats;;;;;;;;
0104201000;HS10;De lespece caprine reproducteurs de race pure;De lespece caprine reproducteurs de race pure;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0104202000;HS10;Caprins vivants;Live goats;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0104209000;HS10;Caprins vivants - Autre;Live goats - Other;Élevage;15.0;2.0;3.0;9.0;;=;29.0
0105;RANGEE 05;"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls";;;;;;;;;
010511;HS6;Volailles vivantes - coqs et poules ≤185g;Live poultry - fowls ≤185g;;;;;;;;
0105110010;HS10;Volailles vivantes - coqs et poules ≤185g - Usage spécifique;Live poultry - fowls ≤185g - Specific use;Élevage;15.0;2.0;3.0;19.0;;=;39.0
0105110090;HS10;Volailles vivantes - coqs et poules ≤185g - Autre usage;Live poultry - fowls ≤185g - Other use;Élevage;15.0;2.0;3.0;19.0;;=;39.0
010512;HS6;Dindes vivantes ≤185g;Live turkeys ≤185g;;;;;;;;
010512;HS6-DIRECT;Dindes vivantes ≤185g;Live turkeys ≤185g;Élevage;15.0;2.0;3.0;19.0;;=;39.0
010513;HS6;Canards;Poultry;;;;;;;;
0105131000;HS10;Canards dits dun jour moins de 185g destinés à la reproduction;Canards dits dun jour moins de 185g destinés à la reproduction;Élevage;15.0;2.0;3.0;19.0;;=;39.0
